product_name,price,description,product_id
Stockholm Chair,$246,Ergonomic design with minimalist Scandinavian style,P-1000
Gothenburg Table,$489,Modern design that brings people together,P-1001
Malmö Desk,$289,Functional design with ample storage solutions,P-1002
Uppsala Sofa,$1289,Plush comfort with clean lines and removable covers,P-1003
Västerås Bookshelf,$222,Simple yet elegant display for your favorite items,P-1004
Örebro Lamp,$111,Stylish accent piece that brightens any room,P-1005
Linköping Bed,$790,Comfortable platform with hidden storage options,P-1006
Helsingborg Dresser,$212,Spacious drawers with smooth-gliding mechanism,P-1007
Jönköping Coffee Table,$212,Centerpiece for your living room with hidden storage,P-1008
Norrköping Nightstand,$135,Compact bedside solution with convenient drawer,P-1009
