part_id,part_name,supplier_id,supplier_name,lead_time_days,unit_cost,minimum_order_quantity,preferred_supplier
S-1074,Drawer Front,SUP-001,nordic Wood Industries,8,$42.73,14,yes
S-1074,Drawer Front,SUP-011,Canadian Timber Products,27,$34.32,66,no
S-1075,Drawer Bottom,SUP-001,nordic Wood Industries,9,$36.77,80,yes
S-1075,Drawer Bottom,SUP-011,Canadian Timber Products,29,$39.49,38,no
S-1076,Drawer Sides,SUP-011,Canadian Timber Products,14,$16.07,11,no
S-1076,Drawer Sides,SUP-001,nordic Wood Industries,22,$19.51,58,yes
S-1077,Drawer Back,SUP-001,nordic Wood Industries,9,$11.55,85,yes
S-1077,Drawer Back,SUP-011,Canadian Timber Products,10,$16.79,94,no
S-1078,Drawer Rails,SUP-012,Korean Metal Works,29,$36.06,92,no
S-1078,Drawer Rails,SUP-002,Shanghai Metal Corp,26,$34.62,91,yes
S-1079,Drawer Handle,SUP-012,Korean Metal Works,12,$39.15,75,no
S-1079,Drawer Handle,SUP-002,Shanghai Metal Corp,9,$2.22,47,yes
S-1080,Screws,SUP-014,Taiwan Precision Parts,7,$24.58,11,no
S-1080,Screws,SUP-004,German Precision Fasteners,25,$40.33,66,yes
S-1081,Drawer Front,SUP-011,Canadian Timber Products,8,$46.31,65,no
S-1081,Drawer Front,SUP-001,nordic Wood Industries,12,$34.32,100,yes
S-1082,Drawer Bottom,SUP-001,nordic Wood Industries,9,$0.57,86,yes
S-1082,Drawer Bottom,SUP-011,Canadian Timber Products,11,$10.57,22,no
S-1083,Drawer Sides,SUP-011,Canadian Timber Products,12,$36.78,74,no
S-1083,Drawer Sides,SUP-001,nordic Wood Industries,10,$6.35,19,yes
S-1084,Drawer Back,SUP-011,Canadian Timber Products,21,$44.44,84,no
S-1084,Drawer Back,SUP-001,nordic Wood Industries,4,$0.75,87,yes
S-1085,Drawer Rails,SUP-012,Korean Metal Works,17,$47.14,66,no
S-1085,Drawer Rails,SUP-002,Shanghai Metal Corp,26,$40.82,62,yes
S-1086,Screws,SUP-004,German Precision Fasteners,15,$0.92,27,yes
S-1086,Screws,SUP-014,Taiwan Precision Parts,30,$23.66,49,no
S-1087,Headboard Panel,SUP-001,nordic Wood Industries,7,$43.62,64,yes
S-1087,Headboard Panel,SUP-011,Canadian Timber Products,7,$15.13,58,no
S-1088,Headboard Frame,SUP-012,Korean Metal Works,20,$20.88,78,no
S-1088,Headboard Frame,SUP-002,Shanghai Metal Corp,7,$29.65,49,yes
S-1089,Decorative Trim,SUP-001,nordic Wood Industries,16,$35.57,38,yes
S-1089,Decorative Trim,SUP-011,Canadian Timber Products,19,$46.52,53,no
S-1090,Mounting Brackets,SUP-012,Korean Metal Works,29,$4.16,76,no
S-1090,Mounting Brackets,SUP-002,Shanghai Metal Corp,21,$9.4,24,yes
S-1091,Screws,SUP-004,German Precision Fasteners,15,$27.97,42,yes
S-1091,Screws,SUP-014,Taiwan Precision Parts,29,$29.78,32,no
S-1092,Seat Base,SUP-011,Canadian Timber Products,12,$31.31,92,no
S-1092,Seat Base,SUP-001,nordic Wood Industries,20,$6.54,22,yes
S-1093,Foam Padding,SUP-005,Brazilian Foam Solutions,7,$7.43,100,yes
S-1093,Foam Padding,SUP-015,UK Foam Manufacturers,5,$40.06,45,no
S-1094,Fabric Cover,SUP-003,Bangalore Textiles Ltd,25,$1.61,33,yes
S-1094,Fabric Cover,SUP-013,Italian Textile Design,16,$8.64,63,no
